Any,zona,nomCom,nomDem,F_MORTS,F_FERITS_GREUS,F_FERITS_LLEUS,F_VICTIMES,F_UNITATS_IMPLICADES,F_VIANANTS_IMPLICADES,F_BICICLETES_IMPLICADES,F_CICLOMOTORS_IMPLICADES,F_MOTOCICLETES_IMPLICADES,F_VEH_LLEUGERS_IMPLICADES,F_VEH_PESANTS_IMPLICADES,C_VELOCITAT_VIA,D_BOIRA,D_CARACT_ENTORN,D_CARRIL_ESPECIAL,D_CIRCULACIO_MESURES_ESP,D_CLIMATOLOGIA,D_FUNC_ESP_VIA,D_INTER_SECCIO,D_LIMIT_VELOCITAT,D_LLUMINOSITAT,D_REGULACIO_PRIORITAT,D_SENTITS_VIA,D_SUBTIPUS_ACCIDENT,D_SUBTIPUS_TRAM,D_SUBZONA,D_SUPERFICIE,D_TIPUS_VIA,D_TITULARITAT_VIA,D_TRACAT_ALTIMETRIC,D_VENT,hor,grupHor,tipAcc,tipDia,Mes,Mortalitat
2010,1,35,1,1,0,0,1,2,1,0,0,0,0,1,100.0,0,0,11,4,0,2,2,0,1,3,2,1,5,2,1,5,5,4,0,12.3,0,1,1,6,1
2010,1,41,0,0,1,0,1,2,1,0,0,0,1,0,100.0,0,3,11,4,0,2,2,0,1,3,1,1,5,2,5,5,5,4,0,17.32,2,1,1,1,0
2010,0,34,2,0,1,0,1,1,0,0,1,0,0,0,60.0,0,4,11,4,0,2,2,1,1,3,0,7,5,0,5,0,3,2,0,18.3,2,5,1,4,0
2010,0,2,0,0,1,1,2,2,0,0,0,0,2,0,100.0,0,1,11,4,0,2,2,0,1,3,0,6,5,0,5,4,1,0,0,10.57,0,4,1,9,0
2010,0,11,0,0,1,0,1,2,0,0,0,1,1,0,80.0,0,0,6,5,0,2,2,1,1,3,0,4,5,0,5,4,2,2,0,18.25,2,4,1,5,0
2010,0,41,0,0,1,0,1,3,0,2,0,0,1,0,20.0,0,0,11,4,0,2,2,1,1,3,0,4,5,0,2,0,3,3,0,10.35,0,4,1,3,0
2010,0,13,0,0,1,0,1,2,0,0,0,1,1,0,80.0,0,2,11,4,0,0,2,1,1,3,2,4,5,0,5,4,4,2,0,7.4,0,4,3,6,0
2010,1,37,3,0,1,0,1,1,1,0,0,0,0,0,100.0,0,0,11,4,0,2,2,0,1,3,0,1,5,2,5,5,5,4,0,12.5,0,1,1,4,0
2010,0,41,0,0,1,2,3,2,0,0,0,0,2,0,100.0,0,3,11,4,0,2,2,0,1,3,1,3,5,0,5,0,5,4,0,13.25,0,4,0,5,0
2010,0,3,2,0,1,0,1,3,0,0,0,0,2,1,50.0,0,1,11,4,0,2,2,1,1,3,0,3,5,0,2,4,2,2,0,9.37,0,4,2,1,0
2010,0,25,0,1,1,1,3,3,0,0,0,0,0,3,100.0,0,0,11,4,0,2,2,0,1,3,0,3,5,0,5,4,1,2,3,11.57,0,4,1,11,1
2010,1,13,0,1,0,0,1,1,0,0,0,1,0,0,60.0,0,3,11,4,0,2,1,1,4,5,2,12,1,2,5,5,5,4,0,23.5,1,3,1,3,1
2010,1,25,0,0,1,2,3,2,1,0,1,0,0,0,20.0,0,0,11,4,0,2,0,1,1,6,2,1,0,2,5,5,5,4,0,14.58,2,1,3,10,0
2010,0,13,0,1,0,4,5,2,0,0,0,0,2,0,80.0,0,2,11,4,0,2,2,1,4,3,0,0,5,0,5,4,1,0,0,5.56,1,0,0,2,1
2010,1,37,3,0,1,1,2,2,2,0,0,0,0,0,100.0,0,0,11,4,0,2,2,0,1,3,0,1,5,2,5,5,5,4,0,17.25,2,1,2,8,0
2010,1,5,0,0,2,0,2,2,0,0,1,0,1,0,100.0,0,2,11,4,0,2,2,0,1,3,0,6,5,2,5,5,5,4,0,18.15,2,4,0,7,0
2010,0,34,2,0,1,0,1,2,0,0,1,0,1,0,100.0,0,3,11,4,0,2,2,0,1,3,1,5,5,0,5,0,5,4,0,13.55,0,4,1,3,0
2010,1,13,0,0,1,1,2,2,1,0,1,0,0,0,100.0,0,3,11,4,0,2,1,0,1,5,2,1,0,2,5,5,5,4,0,10.37,0,1,2,3,0
2010,1,13,0,0,1,0,1,2,1,0,0,0,1,0,100.0,0,3,11,4,0,2,1,0,1,2,0,1,0,2,5,5,5,4,0,9.5,0,1,1,11,0
2010,1,8,3,0,1,0,1,2,0,0,1,0,1,0,100.0,0,3,11,4,0,2,2,0,1,3,1,2,5,2,5,5,5,4,0,12.3,0,2,1,10,0
2010,0,41,0,0,1,0,1,2,0,0,0,0,2,0,50.0,0,3,11,4,0,2,2,1,1,3,1,3,5,0,5,4,5,4,0,19.58,2,4,2,5,0
2010,0,41,0,0,1,0,1,4,0,0,1,0,3,0,100.0,0,0,11,4,0,2,1,0,1,4,2,5,3,0,5,0,3,2,0,21.0,2,4,1,5,0
2010,1,13,0,0,1,0,1,2,1,0,0,0,1,0,100.0,0,3,11,4,0,2,2,0,4,3,0,1,5,2,5,5,5,4,0,4.1,1,1,1,5,0
2010,0,39,2,0,2,0,2,2,0,0,0,0,2,0,100.0,0,2,11,4,0,2,2,0,1,3,0,7,5,0,5,4,2,3,0,9.02,0,5,2,10,0
2010,1,41,0,0,1,0,1,2,0,0,0,1,1,0,100.0,0,3,11,4,0,2,2,0,1,3,1,5,5,2,5,5,5,4,0,10.5,0,4,1,5,0
2010,0,7,0,0,2,0,2,2,0,0,0,0,0,2,40.0,0,2,11,5,0,2,2,1,2,3,0,4,5,0,5,4,1,2,0,14.5,2,4,1,6,0
2010,0,7,0,0,1,0,1,2,0,0,0,1,1,0,100.0,0,2,11,4,0,2,2,0,1,3,0,3,5,0,5,4,4,3,0,11.25,0,4,0,6,0
2010,1,13,0,0,1,0,1,2,0,0,1,1,0,0,100.0,0,3,11,4,0,2,2,0,1,3,2,3,5,2,5,5,5,4,0,14.45,2,4,1,1,0
2010,0,10,1,0,1,3,4,3,0,0,0,0,3,0,100.0,0,2,11,4,0,2,2,0,1,3,0,5,5,0,5,4,4,2,0,17.28,2,4,1,5,0
2010,0,11,0,1,0,0,1,3,0,0,0,0,1,1,100.0,0,1,11,4,3,2,2,0,2,3,0,6,5,0,2,4,1,3,0,16.35,2,4,1,1,1
2010,0,35,1,0,3,1,4,3,0,0,0,0,3,0,100.0,0,2,11,4,0,2,2,0,1,3,0,6,5,0,5,4,1,2,0,17.05,2,4,2,7,0
2010,1,25,0,0,1,0,1,2,1,0,0,0,1,0,100.0,0,0,11,4,0,2,2,0,1,3,0,1,5,2,5,5,5,4,0,18.05,2,1,1,3,0
2010,1,41,0,0,1,0,1,2,1,0,0,0,1,0,100.0,0,3,11,4,0,2,2,0,1,3,1,1,5,2,5,5,5,4,0,11.5,0,1,1,12,0
2010,0,7,0,0,1,0,1,2,1,0,0,0,1,0,100.0,0,0,11,4,3,2,0,0,4,4,0,1,0,0,2,0,3,3,0,21.3,2,1,1,8,0
2010,1,42,0,0,1,1,2,2,0,0,1,0,1,0,100.0,0,0,11,4,0,2,1,0,1,2,0,5,3,2,5,5,5,4,0,9.34,0,4,1,6,0
2010,0,34,2,0,1,0,1,2,0,0,0,1,1,0,100.0,0,3,11,4,0,2,2,0,4,3,0,5,5,0,5,0,3,2,0,20.5,2,4,1,4,0
2010,1,41,0,0,1,0,1,2,0,0,1,0,1,0,100.0,0,0,11,4,0,2,0,0,1,3,0,5,2,2,5,5,5,4,0,13.53,0,4,1,1,0
2010,1,9,3,0,1,0,1,1,0,0,1,0,0,0,40.0,0,0,11,4,0,2,2,1,0,3,0,2,5,2,5,5,3,2,0,21.0,2,2,2,5,0
2010,1,13,0,0,1,0,1,2,0,0,0,1,1,0,100.0,0,3,11,5,0,2,1,0,4,2,0,5,3,2,5,5,5,4,0,22.1,1,4,1,7,0
2010,0,20,1,1,0,0,1,1,0,0,0,1,0,0,100.0,0,2,11,4,0,2,2,0,2,3,0,2,5,0,5,4,1,3,0,8.55,0,2,3,10,1
2010,1,33,2,0,1,0,1,1,0,0,0,0,1,0,100.0,0,1,11,4,0,2,1,0,2,6,0,12,3,2,5,5,5,4,0,18.33,2,3,1,10,0
2010,0,20,1,1,0,0,1,2,0,0,0,0,1,1,100.0,0,2,11,4,0,2,2,0,1,3,0,6,5,0,5,4,1,3,0,11.45,0,4,1,7,1
2010,1,41,0,0,1,1,2,2,0,0,0,0,2,0,100.0,0,3,11,4,0,2,2,0,1,3,1,6,5,2,5,5,5,4,0,1.44,1,4,1,8,0
2010,1,13,0,0,1,0,1,2,0,0,1,0,0,1,100.0,0,3,11,4,0,2,1,0,1,2,0,6,2,2,5,5,5,4,0,8.55,0,4,3,3,0
2010,0,2,0,4,1,0,5,2,0,0,0,0,2,0,100.0,0,2,11,4,0,2,2,0,3,3,0,6,5,0,5,4,1,3,0,21.2,2,4,1,5,1
2010,1,13,0,0,1,3,4,3,0,0,1,0,2,0,100.0,0,3,11,4,3,2,1,0,4,2,2,5,0,2,2,5,5,4,0,2.2,1,4,1,3,0
2010,1,13,0,0,1,0,1,2,1,0,0,0,1,0,100.0,0,3,11,4,3,2,2,0,2,3,0,1,5,2,2,5,5,4,0,19.4,2,1,1,3,0
2010,1,7,0,0,1,0,1,2,1,0,0,0,1,0,100.0,0,0,11,4,0,2,1,0,1,5,2,1,2,2,5,5,3,3,0,10.3,0,1,1,7,0
2010,0,11,0,0,1,1,2,2,0,0,0,0,2,0,80.0,0,0,11,4,3,2,2,1,4,3,0,5,5,0,2,4,2,2,0,6.15,0,4,2,9,0
2010,1,41,0,0,1,0,1,1,0,0,0,1,0,0,100.0,0,0,11,4,0,2,2,0,1,3,0,12,5,2,5,5,5,4,0,14.02,2,3,2,3,0
2010,0,8,3,0,1,1,2,2,0,0,0,1,1,0,100.0,0,0,11,4,0,2,2,0,1,3,0,4,5,0,5,4,2,2,0,14.15,2,4,0,3,0
2010,1,8,3,0,1,2,3,4,3,0,0,0,1,0,100.0,0,0,11,4,0,2,2,0,4,3,0,1,5,2,5,5,5,4,0,21.35,2,1,0,9,0
2010,1,9,3,0,1,0,1,2,0,0,0,1,1,0,100.0,0,0,11,4,3,2,1,0,1,4,0,3,0,2,2,5,5,4,0,14.1,2,4,3,3,0
2010,1,9,3,0,1,0,1,3,0,0,2,0,1,0,100.0,0,0,11,4,0,2,1,0,4,2,0,6,3,2,5,5,5,4,0,20.4,2,4,2,12,0
2010,0,11,0,1,0,1,2,1,0,0,0,0,1,0,30.0,0,0,0,4,0,2,2,1,1,3,0,12,5,0,5,4,2,2,0,7.54,0,3,0,9,1
2010,1,13,0,1,3,0,4,5,4,0,0,0,1,0,100.0,0,3,11,4,0,2,1,0,4,2,0,1,0,2,5,5,5,4,0,19.45,2,1,0,12,1
2010,1,1,1,0,1,2,3,2,0,0,0,0,2,0,60.0,0,1,11,4,0,3,2,1,1,3,0,6,5,1,5,4,2,2,0,15.13,2,4,1,9,0
2010,0,20,1,0,1,0,1,2,0,1,0,0,1,0,70.0,0,2,11,4,0,2,2,1,5,3,0,4,5,0,5,4,1,2,0,21.5,2,4,1,8,0
2010,1,13,0,1,0,0,1,2,0,0,0,1,0,1,80.0,0,3,11,4,3,2,2,1,1,3,0,2,5,2,2,5,5,4,0,7.5,0,2,1,9,1
2010,1,37,3,0,1,0,1,2,1,0,0,0,1,0,100.0,0,2,11,4,0,2,2,0,2,3,2,1,5,2,5,5,5,4,0,10.25,0,1,1,2,0
2010,0,7,0,1,1,0,2,2,0,0,0,1,1,0,80.0,0,2,11,4,0,2,2,1,0,3,0,6,5,0,5,4,1,2,0,8.0,0,4,1,8,1
2010,1,42,0,0,2,0,2,1,0,0,1,0,0,0,30.0,0,0,11,4,0,2,2,1,1,3,0,7,5,2,5,5,5,4,0,16.46,2,5,2,7,0
2010,1,13,0,0,1,0,1,2,0,0,0,1,1,0,100.0,0,3,11,4,3,2,2,0,1,3,0,6,5,2,2,5,5,4,0,7.5,0,4,1,6,0
2010,0,12,3,0,1,0,1,1,0,0,0,0,0,1,50.0,0,1,11,4,0,2,2,1,1,3,0,7,5,0,5,0,3,0,0,16.0,2,5,3,10,0
2010,1,42,0,1,0,1,2,1,0,0,0,0,1,0,100.0,0,0,11,4,0,3,2,0,1,3,0,7,5,1,5,0,3,2,0,19.51,2,5,2,7,1
2010,1,13,0,0,1,0,1,2,1,0,0,0,0,1,100.0,0,3,4,4,0,2,2,0,4,3,0,1,5,2,2,5,5,4,0,19.3,2,1,1,1,0
2010,0,1,1,1,0,1,2,2,0,0,0,0,2,0,60.0,0,0,11,4,0,2,2,1,4,3,0,3,5,0,5,4,2,0,0,5.46,1,4,2,1,1
2010,1,8,3,0,1,0,1,2,0,1,0,0,1,0,100.0,0,3,11,4,0,2,2,0,1,3,0,4,5,2,5,5,5,4,0,11.5,0,4,2,1,0
2010,0,25,0,0,2,1,3,2,0,0,0,0,2,0,70.0,0,4,11,4,3,2,2,1,1,3,0,3,5,0,2,4,4,3,0,8.45,0,4,3,7,0
2010,0,21,0,0,1,0,1,2,1,0,0,0,1,0,50.0,0,0,11,4,0,2,2,1,1,3,0,1,5,0,5,0,2,2,0,14.5,2,1,1,3,0
2010,0,41,0,0,1,0,1,2,0,0,0,1,1,0,100.0,0,0,11,4,0,2,2,0,1,3,0,6,5,0,5,0,3,2,0,7.45,0,4,1,11,0
2010,0,11,0,0,1,0,1,2,0,0,0,2,0,0,100.0,0,0,11,4,0,2,2,1,1,3,2,6,5,0,5,4,1,2,0,17.15,2,4,0,1,0
2010,0,9,3,0,1,13,14,3,0,0,0,0,3,0,100.0,0,2,11,4,0,2,2,1,1,3,0,5,5,0,5,4,1,2,0,18.15,2,4,2,8,0
2010,1,13,0,0,1,1,2,2,0,0,1,0,1,0,100.0,0,3,11,4,0,2,1,0,1,2,0,5,3,2,5,5,5,4,0,17.0,2,4,2,1,0
2010,0,13,0,0,1,0,1,2,0,0,0,1,1,0,80.0,0,2,11,4,0,0,2,1,1,3,2,6,5,0,5,4,4,2,0,19.1,2,4,1,2,0
2010,0,28,2,1,0,0,1,1,0,0,0,0,1,0,100.0,0,0,11,4,0,2,2,0,1,3,0,12,5,0,5,0,3,2,0,8.45,0,3,3,10,1
2010,1,19,1,0,1,0,1,2,1,0,0,0,1,0,100.0,0,0,11,4,0,2,2,0,1,3,0,1,5,2,5,5,4,2,0,13.56,0,1,1,7,0
2010,0,9,3,0,1,0,1,2,0,0,0,0,1,0,100.0,0,0,11,4,0,2,1,0,1,4,0,5,0,0,5,4,2,3,0,10.45,0,4,1,2,0
